"","Comprehension","Arithmetic","Similarities","Vocabulary","Digit Span","Picture Completion","Paragraph Arrangement","Block Design","Object Assembly","Coding
"
"1",7,13,9,12,9,6,11,12,7,9
"2",6,8,7,11,12,6,8,7,12,14
"3",18,11,16,15,6,18,8,11,12,9
"4",11,6,12,9,7,13,4,7,12,11
"5",3,8,9,12,9,7,7,11,4,10
"6",7,15,12,10,12,6,12,10,5,10
"7",13,7,8,11,6,14,9,14,14,10
"8",10,10,15,10,7,8,14,11,10,12
"9",8,8,14,9,9,10,11,10,9,6
"10",10,8,11,9,11,10,12,9,13,13
"11",15,13,14,12,7,15,12,10,10,4
"12",11,8,11,13,13,14,7,11,9,10
"13",12,12,15,13,13,14,17,9,12,7
"14",5,7,11,13,7,13,10,15,15,11
"15",15,8,15,13,8,11,13,11,11,7
"16",11,9,17,17,7,17,12,11,11,5
"17",10,12,12,12,12,7,7,10,14,8
"18",6,5,8,6,5,11,8,10,11,5
"19",12,9,14,13,8,6,7,11,11,12
"20",10,9,10,8,8,9,7,12,6,2
"21",6,8,9,8,12,7,10,9,8,7
"22",6,5,10,6,9,10,10,8,16,12
"23",7,8,14,12,12,6,12,8,8,14
"24",8,7,7,8,5,8,5,9,12,8
"25",13,12,11,15,9,11,11,11,14,15
"26",6,7,5,6,8,6,7,6,5,11
"27",16,10,15,14,5,10,9,13,14,10
"28",6,6,5,7,7,10,6,9,5,11
"29",4,8,13,10,7,9,8,4,11,5
"30",15,10,12,10,15,9,12,7,11,10
"31",10,10,12,13,14,14,15,12,9,6
"32",13,10,14,13,12,10,9,13,12,15
"33",9,11,12,11,8,11,9,11,11,7
"34",9,6,12,12,7,10,9,9,13,9
"35",10,9,11,8,11,8,6,12,11,4
"36",7,10,5,12,14,10,9,3,3,10
"37",9,8,11,12,6,10,5,11,8,8
"38",6,11,10,16,8,12,10,11,13,14
"39",11,9,12,10,8,7,7,6,8,11
"40",10,10,12,10,9,13,13,12,10,10
"41",8,6,8,7,8,8,10,10,9,5
"42",11,8,7,5,6,14,10,5,8,8
"43",8,6,3,11,9,10,5,10,9,5
"44",11,8,13,10,9,7,13,15,12,12
"45",14,6,12,16,16,17,10,10,14,6
"46",10,11,12,8,8,10,12,11,6,10
"47",14,10,10,15,10,14,15,14,12,8
"48",11,6,14,13,7,9,14,12,8,9
"49",8,5,11,8,5,12,10,5,13,5
"50",8,9,13,12,4,12,9,11,12,7
"51",8,5,8,10,7,7,5,7,8,4
"52",5,6,10,8,7,11,12,12,14,9
"53",10,11,10,9,8,8,7,7,6,9
"54",7,6,10,9,7,7,9,9,10,5
"55",11,8,8,10,7,8,5,9,15,11
"56",9,6,6,12,7,9,10,10,8,6
"57",15,9,9,11,8,10,9,11,7,12
"58",12,11,13,10,7,11,11,11,12,0
"59",14,11,15,17,7,11,16,15,11,9
"60",9,9,8,10,10,7,7,6,8,8
"61",9,10,10,8,9,8,11,8,10,9
"62",14,14,14,14,10,10,11,12,12,10
"63",6,11,6,8,7,6,10,9,7,8
"64",11,11,11,7,10,11,9,6,12,10
"65",10,11,8,12,6,13,10,9,12,10
"66",7,12,12,17,9,13,12,5,12,7
"67",10,6,11,14,9,10,10,9,14,6
"68",10,6,11,12,5,11,11,7,13,7
"69",7,7,10,8,8,9,11,12,11,12
"70",18,11,17,16,14,19,10,17,16,8
"71",10,9,6,15,12,9,7,13,11,12
"72",15,14,13,13,8,11,15,13,12,6
"73",9,9,10,13,8,2,8,2,3,7
"74",9,7,7,9,9,9,9,11,14,10
"75",8,8,9,8,4,9,10,8,11,3
"76",14,10,5,13,8,4,14,12,14,8
"77",14,12,10,10,5,11,9,14,16,9
"78",8,8,9,11,7,11,5,8,8,12
"79",8,9,9,10,11,10,11,8,9,5
"80",7,7,6,9,7,7,14,9,8,10
"81",10,11,15,12,10,7,9,4,10,4
"82",9,13,13,12,11,15,14,16,13,8
"83",11,12,10,11,13,11,15,13,10,11
"84",13,10,9,9,13,13,10,12,13,11
"85",11,14,14,15,9,13,14,16,12,13
"86",14,11,12,14,9,9,11,10,13,6
"87",8,9,7,9,4,10,10,10,6,6
"88",12,7,2,10,12,8,9,10,8,9
"89",14,11,18,16,11,13,14,10,13,8
"90",9,8,9,8,7,8,15,10,11,11
"91",10,11,8,13,6,10,9,11,9,9
"92",12,10,15,11,12,13,10,13,12,2
"93",14,11,15,14,16,13,11,15,13,12
"94",9,8,10,11,8,11,11,12,12,9
"95",10,8,9,10,4,10,11,11,13,9
"96",13,10,11,12,6,13,11,13,12,8
"97",9,8,13,11,8,13,7,7,14,5
"98",8,8,8,7,9,12,8,10,10,5
"99",13,13,18,19,10,11,13,11,12,4
"100",8,9,9,8,11,10,11,8,10,8
"101",6,8,7,3,6,10,15,10,17,4
"102",9,9,7,9,9,10,11,9,9,12
"103",12,8,11,13,10,11,13,13,15,10
"104",9,12,8,10,11,12,8,12,11,8
"105",14,14,16,10,14,14,12,13,11,9
"106",8,8,10,9,8,13,10,10,10,6
"107",11,7,12,10,7,13,14,12,14,13
"108",10,10,5,11,7,9,9,8,11,5
"109",6,8,7,10,8,7,2,3,8,7
"110",11,9,15,14,9,12,9,12,14,10
"111",9,8,12,14,8,13,10,13,9,6
"112",9,6,7,9,9,11,10,9,14,8
"113",14,9,14,14,8,12,12,10,10,6
"114",10,10,9,10,8,12,11,11,12,12
"115",12,11,11,10,11,14,13,12,12,9
"116",14,13,15,10,5,14,13,14,12,11
"117",14,6,17,12,11,13,15,13,11,4
"118",10,10,11,10,9,14,8,10,11,6
"119",6,5,9,6,8,10,10,11,10,8
"120",12,7,11,11,6,18,12,8,11,5
"121",8,8,16,11,11,12,10,10,14,9
"122",9,10,7,9,7,13,6,12,9,11
"123",16,11,18,13,6,12,11,13,10,6
"124",15,12,14,19,7,16,9,14,11,8
"125",9,7,11,12,9,14,10,11,13,7
"126",9,7,10,9,9,12,11,9,11,6
"127",11,7,4,9,0,8,6,8,8,13
"128",0,8,9,8,7,10,13,8,10,12
"129",10,13,9,9,8,11,11,13,13,7
"130",9,8,5,6,4,9,9,9,8,7
"131",7,10,11,9,7,8,9,9,8,9
"132",12,10,11,12,13,13,13,12,16,12
"133",6,6,12,6,7,8,12,6,11,4
"134",11,8,12,10,6,10,9,11,17,9
"135",11,9,8,9,8,8,10,11,12,9
"136",12,5,9,10,12,10,9,8,10,10
"137",10,8,11,16,14,4,12,7,10,14
"138",6,10,6,7,11,2,11,11,10,5
"139",9,8,10,9,8,8,11,11,14,13
"140",8,8,6,8,7,14,11,11,11,7
"141",9,9,14,11,7,7,8,8,10,7
"142",7,6,4,9,6,12,15,14,12,7
"143",13,6,15,14,11,12,11,9,7,12
"144",10,9,10,9,8,14,15,9,13,9
"145",9,8,10,11,7,12,11,12,15,6
"146",11,7,10,10,11,10,13,12,12,8
"147",10,9,15,13,11,14,12,10,12,5
"148",7,9,8,6,10,8,11,10,10,8
"149",11,10,11,12,6,12,13,14,15,6
"150",10,8,8,9,12,10,11,9,9,7
"151",11,7,12,9,9,15,12,15,14,6
"152",14,8,12,8,13,11,13,8,13,13
"153",7,9,10,11,8,8,10,11,9,9
"154",17,14,15,15,14,14,8,10,13,12
"155",16,16,14,16,12,11,11,18,18,12
"156",10,4,12,11,7,10,10,14,12,6
"157",10,7,9,9,8,12,14,15,11,11
"158",10,10,12,14,11,10,11,8,9,14
"159",12,7,8,9,8,13,6,9,8,7
"160",8,9,11,8,10,10,10,11,11,9
"161",10,9,11,11,12,9,8,11,16,5
"162",11,9,9,9,8,16,14,12,19,12
"163",10,7,9,10,5,14,12,9,10,12
"164",7,6,9,7,8,14,12,10,13,10
"165",12,12,13,12,8,15,14,11,10,6
"166",6,9,9,6,6,11,7,11,7,8
"167",12,13,17,12,13,15,14,11,9,11
"168",7,7,8,12,9,12,9,15,8,12
"169",3,9,5,2,3,8,14,8,7,7
"170",11,12,12,18,13,12,12,11,8,7
"171",11,5,11,8,9,5,9,7,9,10
"172",8,11,11,6,12,12,10,10,6,10
"173",10,10,10,9,5,10,11,10,13,9
"174",12,11,11,12,12,13,11,10,12,12
"175",9,10,8,8,9,10,6,6,7,7
