State,Grad Rate
Alabama,89.3
Alaska,75.6
Arizona,77.4
Arkansas,84.9
California,82
Colorado,77.3
Connecticut,87.2
Delaware,85.6
District of Columbia,68.5
Florida,77.9
Georgia,78.8
Hawaii,81.6
Idaho,78.9
Illinois,85.6
Indiana,87.1
Iowa,90.8
Kansas,85.7
Kentucky,88
Louisiana,77.5
Maine,87.5
Maryland,87
Massachusetts,87.3
Michigan,79.8
Minnesota,81.9
Mississippi,80.8
Missouri,87.8
Montana,86
Nebraska,88.9
Nevada,71.3
New Hampshire,88.1
New Jersey,89.7
New Mexico,68.6
New York,79.2
North Carolina,85.6
North Dakota,86.6
Ohio,80.7
Oklahoma,82.5
Oregon,73.8
Pennsylvania,84.8
Rhode Island,83.2
South Carolina,80.3
South Dakota,83.9
Tennessee,87.9
Texas,89
Utah,84.8
Vermont,87.7
Virginia,85.7
Washington,78.2
West Virginia,86.5
Wisconsin,88.4
Wyoming,79.3
