State,Region,Population,Graduation Rate,Libraries,Users,Libraries per HundredK,Users per HundredK,Books per HundredK
NJ,Northeast,8791894,89.7,451,4408002,5.129725176,50137.11494,321069.6012
PA,Northeast,12702379,84.8,644,5330482,5.069916431,41964.43832,202955.7692
NM,West,2085287,68.6,123,1029945,5.898468652,49391.04306,206652.3697
MI,Midwest,9898193,79.8,653,5128464,6.597163745,51812.12369,329004.0819
AZ,West,6667241,77.4,231,3118825,3.464701516,46778.34505,123437.1159
MN,Midwest,5417838,81.9,364,4080678,6.71854714,75319.30634,269711.276
CT,Northeast,3596080,87.2,243,1647190,6.757358012,45805.1545,405375.5756
GA,South,10344907,78.8,408,4164735,3.943969723,40258.79595,160495.9523
TX,South,26448193,89,880,13187230,3.327259446,49860.60862,152802.8928
SD,Midwest,852175,83.9,149,383507,17.48467158,45003.31505,329417.5492
VT,Northeast,626630,87.7,188,323486,30.00175542,51623.12689,469196.4955
KS,Midwest,2893957,85.7,381,1774222,13.16536493,61307.82178,321378.9977
NY,Northeast,19378102,79.2,1072,10925440,5.532017532,56380.34107,365439.6339
NC,South,9861952,85.6,408,5059879,4.137112004,51307.07389,169862.1733
KY,South,4395295,88,281,2664920,6.393200001,60631.19768,205512.1897
WA,West,6968170,78.2,371,4361927,5.324209943,62597.88438,192728.6504
WY,West,582658,79.3,78,400460,13.38692681,68729.85525,428548.4796
IL,Midwest,12880580,85.6,801,5606184,6.218664066,43524.31335,337747.0192
RI,Northeast,1051511,83.2,71,466618,6.752188042,44375.95042,402572.1081
WI,Midwest,5732981,88.4,466,3452345,8.128406496,60219.02044,327872.4105
SC,South,4652360,80.3,223,2599480,4.793266213,55874.43792,195744.0095
DE,South,925244,85.6,34,379791,3.674706348,41047.65878,177543.9776
MA,Northeast,6587339,87.3,468,3395801,7.104537963,51550.42119,474918.0663
UT,West,2900872,84.8,143,1793578,4.929552217,61828.92592,229019.3431
OH,Midwest,11525088,80.7,762,9043300,6.611663182,78466.21215,371209.7383
HI,West,1404054,81.6,52,915100,3.703561259,65175.55593,235969.1294
ID,West,1634465,78.9,155,846363,9.483225398,51782.26514,264533.41
OR,West,3919020,73.8,229,1961047,5.843297559,50039.21899,251922.6745
MO,Midwest,6044917,87.8,389,3289934,6.435158663,54424.80021,277843.8314
AL,South,4822023,89.3,311,2663716,6.449575209,55240.63241,195811.7164
ND,Midwest,739482,86.6,93,281392,12.57637103,38052.58275,311504.5397
CA,West,38340074,82,1170,21723648,3.051637303,56660.42272,170603.2962
FL,South,19839251,77.9,555,10615421,2.797484643,53507.16617,159295.2577
VA,South,8326289,85.7,379,4850306,4.551847768,58252.91435,210653.1253
MT,West,988533,86,119,481933,12.03804021,48752.34312,259586.1747
WV,South,1852994,86.5,181,933968,9.767975503,50403.18533,271686.3088
OK,South,3888566,82.5,216,2043524,5.554746917,52552.12333,183927.2369
IN,Midwest,6483802,87.1,452,3716275,6.97121843,57316.29374,375846.8411
MS,South,2994079,80.8,237,1637307,7.915622801,54684.82963,188422.6836
NE,Midwest,1868969,88.9,293,1085590,15.67709256,58084.96556,316523.9231
NV,West,2795962,71.3,88,1323756,3.147396138,47345.27866,153719.4354
AR,South,2915918,84.9,235,1615238,8.059211542,55393.80737,216205.5655
TN,South,6469352,87.9,289,3362436,4.467217118,51974.85003,181800.4647
CO,West,5264890,77.3,272,3588616,5.166299771,68161.27213,195952.8689
MD,South,5828289,87,203,3491938,3.48301191,59913.60415,218519.6547
ME,Northeast,1330089,87.5,271,759409,20.37457644,57094.60044,474497.8719
IA,Midwest,3092341,90.8,570,2056436,18.43263728,66500.9454,388060.5664
LA,South,4629284,77.5,368,2476596,7.94939347,53498.46758,256970.5164
AK,West,735601,75.6,102,358089,13.8662128,48679.787,330917.9841
NH,Northeast,1323259,88.1,233,809993,17.60804196,61211.9774,442904.0724
